UNIQUENESS INDEX,NAME,Background ID,Skull Gene,Hair Gene,Eyes Gene,Nose Gene,Teeth Gene,Bones Gene,Beard Gene,token_id,feature
22,Trukroxorr,#69,#8,#76,#56,#5,#4,#15,#8,2414,
25,Jijoiss,#63,#1,#122,#5,#4,#6,#15,#8,2415,Game Token
22,Brehaarr,#15,#13,#76,#52,#3,#2,#15,#8,2416,
25,Anderteth,#85,#8,#122,#35,#5,#6,#15,#8,2417,Game Token
22,Krearsakki,#87,#14,#77,#30,#7,#10,#15,#8,2418,
25,Dritaal,#31,#12,#122,#50,#7,#3,#15,#8,2419,Game Token
11,Driurnuu,#72,#2,#1,#53,#0,#6,#15,#7,2420,
22,Thetteddo,#123,#9,#72,#84,#3,#6,#15,#8,2421,
13,Nioxele,#38,#5,#107,#39,#2,#0,#10,#8,2422,
11,Projaaggo,#93,#7,#121,#70,#5,#2,#15,#2,2423,
22,Golphoih,#59,#11,#59,#78,#1,#5,#15,#8,2424,
22,Coderex,#122,#6,#48,#78,#0,#1,#15,#8,2425,
22,Kiphor,#106,#8,#121,#49,#6,#10,#15,#8,2426,
26,Sraphul,#73,#8,#122,#26,#2,#4,#15,#8,2427,Game Token
25,Yaotrian,#16,#11,#122,#83,#4,#8,#15,#8,2428,Game Token
22,Wristraokhiak,#15,#6,#55,#9,#2,#3,#15,#8,2429,
25,Tephaolthul,#113,#0,#122,#3,#4,#5,#15,#8,2430,Game Token
22,Hobess,#70,#9,#48,#73,#6,#0,#15,#8,2431,
22,Llauxaozzas,#116,#2,#13,#82,#1,#0,#15,#8,2432,
22,Eakkirm,#106,#12,#26,#73,#6,#1,#15,#8,2433,
26,Bhounthiuth,#98,#8,#122,#63,#3,#10,#15,#8,2434,Game Token
22,Zetao,#6,#4,#89,#84,#5,#0,#15,#8,2435,
13,Shroulfial,#4,#2,#35,#36,#2,#10,#7,#8,2436,
22,Khauddio,#126,#13,#64,#19,#5,#3,#15,#8,2437,
22,Kenraaw,#79,#6,#44,#7,#3,#8,#15,#8,2438,
11,Wrarsoutau,#103,#13,#64,#57,#2,#7,#15,#7,2439,
2,Zoghugax,#56,#7,#72,#27,#7,#3,#13,#0,2440,
25,Krujett,#85,#4,#122,#41,#6,#2,#15,#8,2441,Game Token
22,Joulmiudiul,#126,#9,#46,#15,#7,#1,#15,#8,2442,
22,Cholthiziw,#69,#1,#43,#73,#0,#9,#15,#8,2443,
25,Asaoth,#5,#10,#122,#10,#1,#1,#15,#8,2444,Game Token
12,Chibraasa,#105,#12,#73,#16,#5,#10,#1,#8,2445,
2,Jiceaxtrorm,#34,#5,#70,#7,#4,#5,#0,#6,2446,
12,Zigra,#64,#2,#4,#30,#5,#0,#2,#8,2447,
11,Miuddeameas,#88,#12,#107,#33,#1,#10,#15,#0,2448,
22,Wrazoulreal,#29,#9,#30,#78,#1,#5,#15,#8,2449,
25,Sthaarkalmirth,#95,#11,#122,#19,#6,#10,#15,#8,2450,Game Token
22,Cathralfehr,#25,#1,#60,#65,#6,#1,#15,#8,2451,
12,Kroughurm,#87,#5,#108,#51,#1,#10,#8,#8,2452,
22,Joxoss,#128,#1,#57,#9,#2,#2,#15,#8,2453,
22,Lloundraah,#56,#8,#72,#78,#2,#7,#15,#8,2454,
25,Slexhoihraan,#122,#13,#122,#22,#6,#10,#15,#8,2455,Game Token
25,Ceadaa,#68,#13,#122,#59,#2,#2,#15,#8,2456,Game Token
22,Pronoimmeth,#32,#0,#45,#44,#4,#2,#15,#8,2457,
22,Shrozealphiun,#82,#4,#104,#25,#1,#9,#15,#8,2458,
22,Gruntu,#39,#0,#45,#84,#6,#10,#15,#8,2459,
22,Idao,#38,#4,#89,#17,#3,#10,#15,#8,2460,
11,Vrerkalthios,#30,#9,#31,#25,#3,#6,#15,#0,2461,
22,Biozartos,#109,#5,#83,#47,#1,#6,#15,#8,2462,
12,Bujahr,#105,#6,#1,#19,#5,#6,#7,#8,2463,
22,Thriassoitte,#16,#8,#6,#84,#2,#8,#15,#8,2464,
22,Bahas,#103,#4,#1,#75,#6,#6,#15,#8,2465,
22,Giunoilthuun,#130,#13,#0,#84,#4,#0,#15,#8,2466,
22,Aohleath,#105,#14,#98,#45,#5,#0,#15,#8,2467,
22,Grarrilfec,#40,#5,#65,#81,#0,#8,#15,#8,2468,
12,Xighecu,#84,#13,#61,#52,#2,#9,#14,#8,2469,
25,Chograhr,#80,#3,#122,#47,#6,#4,#15,#8,2470,Game Token
22,Cruthez,#92,#7,#3,#85,#5,#8,#15,#8,2471,
11,Giphramiott,#79,#2,#43,#1,#5,#8,#15,#5,2472,
25,Rengagnauw,#51,#9,#122,#32,#0,#1,#15,#8,2473,Game Token
2,Crirzudri,#129,#14,#89,#8,#7,#1,#11,#0,2474,
22,Blontaoth,#2,#5,#20,#24,#0,#3,#15,#8,2475,
22,Sthruddu,#111,#3,#8,#20,#0,#10,#15,#8,2476,
22,Aonni,#53,#12,#70,#13,#1,#3,#15,#8,2477,
16,Sloxtredru,#38,#5,#122,#18,#3,#2,#14,#8,2478,
12,Ezartus,#102,#4,#107,#7,#0,#0,#10,#8,2479,
22,Houstraaxuuh,#4,#14,#97,#14,#3,#5,#15,#8,2480,
22,Lladauhrah,#63,#3,#48,#29,#3,#2,#15,#8,2481,
13,Ungol,#11,#5,#94,#62,#2,#9,#5,#8,2482,
12,Phaarrau,#30,#1,#62,#43,#0,#5,#9,#8,2483,
25,Glannumliu,#129,#1,#122,#80,#4,#1,#15,#8,2484,Game Token
22,Sthremmi,#25,#6,#6,#77,#2,#1,#15,#8,2485,
2,Wroumlaongoh,#4,#13,#53,#73,#6,#2,#5,#5,2486,
12,Xurkek,#76,#8,#121,#9,#5,#4,#10,#8,2487,
22,Khiullaulraa,#91,#3,#70,#63,#6,#9,#15,#8,2488,
22,Ugehau,#6,#10,#19,#64,#2,#5,#15,#8,2489,
16,Yaahlul,#1,#2,#122,#70,#6,#1,#14,#8,2490,
16,Naunisthoul,#101,#8,#122,#44,#7,#0,#11,#8,2491,
22,Xerkarr,#71,#3,#31,#64,#2,#0,#15,#8,2492,
22,Irnioh,#107,#5,#118,#18,#0,#1,#15,#8,2493,
22,Iandoca,#49,#0,#18,#21,#5,#5,#15,#8,2494,
25,Sealme,#25,#6,#122,#14,#5,#0,#15,#8,2495,Game Token
11,Sliunsebrois,#8,#7,#74,#23,#7,#5,#15,#2,2496,
11,Drothra,#115,#4,#31,#88,#0,#7,#15,#7,2497,
12,Phreabruz,#107,#10,#85,#61,#5,#9,#8,#8,2498,
12,Nerexu,#17,#2,#110,#47,#7,#0,#5,#8,2499,
13,Muldaas,#124,#2,#111,#44,#2,#9,#7,#8,2500,
25,Blonruxorm,#28,#12,#122,#82,#6,#3,#15,#8,2501,Game Token
22,Blengi,#130,#1,#78,#73,#7,#7,#15,#8,2502,
22,Sekho,#56,#5,#32,#51,#2,#8,#15,#8,2503,
22,Taobrehiath,#19,#6,#15,#38,#3,#0,#15,#8,2504,
11,Wreltheattaah,#53,#14,#20,#26,#2,#0,#15,#7,2505,
25,Praulre,#78,#0,#122,#32,#3,#6,#15,#8,2506,Game Token
12,Slintheal,#45,#8,#20,#55,#4,#5,#14,#8,2507,
12,Blionthiu,#83,#4,#91,#24,#3,#6,#7,#8,2508,
22,Piotiu,#116,#6,#49,#80,#3,#9,#15,#8,2509,
22,Ruukreah,#88,#1,#88,#6,#4,#4,#15,#8,2510,
22,Sroxomex,#26,#13,#81,#11,#4,#0,#15,#8,2511,
22,Vundrauhaoz,#36,#4,#62,#26,#4,#10,#15,#8,2512,
11,Khaulna,#27,#10,#27,#80,#4,#1,#15,#3,2513,
22,Driolrous,#42,#14,#46,#76,#2,#2,#15,#8,2514,
22,Nithradih,#46,#2,#37,#43,#1,#3,#15,#8,2515,
15,Prathruuk,#129,#13,#122,#40,#4,#9,#15,#5,2516,
22,Gablohurm,#2,#5,#110,#69,#2,#4,#15,#8,2517,
16,Gliurlis,#105,#14,#122,#21,#0,#6,#2,#8,2518,
22,Kraghoxtrarm,#35,#7,#64,#51,#6,#3,#15,#8,2519,
16,Iozziol,#129,#0,#122,#53,#5,#9,#5,#8,2520,
26,Laogiu,#59,#14,#122,#55,#2,#10,#15,#8,2521,Game Token
22,Thraoddeah,#68,#0,#84,#1,#5,#6,#15,#8,2522,
2,Issa,#122,#7,#68,#7,#4,#2,#5,#3,2523,
22,Sloibri,#51,#1,#37,#69,#0,#3,#15,#8,2524,
22,Bubrukrik,#58,#2,#98,#21,#7,#1,#15,#8,2525,
22,Wraohriustre,#78,#14,#41,#65,#4,#3,#15,#8,2526,
25,Ghaamfagias,#108,#14,#122,#79,#5,#9,#15,#8,2527,Game Token
11,Duucoth,#111,#4,#3,#82,#5,#4,#15,#7,2528,
22,Brogrudaaw,#124,#4,#7,#34,#1,#8,#15,#8,2529,
22,Ciudrousse,#129,#10,#12,#41,#1,#2,#15,#8,2530,
22,Kole,#53,#7,#17,#76,#4,#1,#15,#8,2531,
2,Pegealduss,#100,#9,#58,#47,#2,#5,#9,#0,2532,
22,Iudrek,#76,#14,#117,#33,#3,#0,#15,#8,2533,
2,Narzhek,#130,#13,#34,#27,#6,#4,#13,#0,2534,
25,Pruushau,#71,#8,#122,#18,#6,#9,#15,#8,2535,Game Token
25,Aphulmu,#128,#0,#122,#63,#0,#3,#15,#8,2536,Game Token
25,Yabrazir,#17,#13,#122,#24,#1,#3,#15,#8,2537,Game Token
12,Shreazzalduul,#13,#14,#6,#16,#4,#10,#6,#8,2538,
22,Dotraus,#50,#4,#33,#36,#4,#3,#15,#8,2539,
22,Vethraurass,#13,#2,#12,#34,#1,#1,#15,#8,2540,
22,Ghealfaol,#72,#11,#58,#73,#7,#8,#15,#8,2541,
22,Prendondass,#104,#1,#23,#68,#0,#3,#15,#8,2542,
22,Gauldou,#43,#12,#12,#14,#4,#8,#15,#8,2543,
25,Vumezahr,#111,#1,#122,#47,#1,#6,#15,#8,2544,Game Token
25,Iukru,#65,#2,#122,#49,#0,#4,#15,#8,2545,Game Token
22,Waurlea,#36,#7,#13,#1,#3,#4,#15,#8,2546,
22,Threathrul,#76,#9,#76,#15,#2,#1,#15,#8,2547,
11,Tiddi,#39,#0,#57,#1,#5,#1,#15,#4,2548,
16,Dudraarth,#128,#9,#122,#19,#6,#6,#2,#8,2549,
22,Kecaxxo,#125,#11,#34,#35,#6,#0,#15,#8,2550,
22,Hiostrosher,#55,#6,#86,#75,#0,#1,#15,#8,2551,
11,Wrokuk,#105,#8,#103,#88,#0,#6,#15,#3,2552,
22,Ikix,#39,#0,#92,#45,#3,#5,#15,#8,2553,
11,Thakral,#116,#6,#89,#10,#3,#10,#15,#5,2554,
22,Therchimmak,#123,#13,#12,#5,#3,#9,#15,#8,2555,
22,Uudikihr,#2,#0,#98,#2,#1,#4,#15,#8,2556,
22,Etioxois,#43,#6,#66,#60,#6,#4,#15,#8,2557,
22,Chulduxtri,#71,#11,#25,#46,#1,#10,#15,#8,2558,
16,Jungugnauhr,#108,#0,#122,#61,#1,#2,#14,#8,2559,
22,Shinou,#2,#5,#109,#61,#7,#5,#15,#8,2560,
25,Xiumfostriol,#65,#1,#122,#80,#5,#9,#15,#8,2561,Game Token
22,Shuukhios,#128,#13,#81,#39,#2,#5,#15,#8,2562,
22,Fruudhia,#25,#5,#86,#86,#0,#7,#15,#8,2563,
22,Maadreammurth,#105,#1,#86,#39,#1,#2,#15,#8,2564,
11,Sthophre,#74,#3,#85,#5,#4,#5,#15,#1,2565,
2,Phoihri,#71,#11,#77,#9,#3,#9,#3,#5,2566,
22,Dekhiphi,#93,#0,#30,#29,#6,#6,#15,#8,2567,
22,Toixxouh,#118,#8,#112,#18,#0,#3,#15,#8,2568,
25,Wrutturnaoh,#66,#2,#122,#25,#4,#1,#15,#8,2569,Game Token
22,Shrouddao,#81,#2,#25,#50,#5,#6,#15,#8,2570,
11,Auphuuz,#67,#4,#78,#55,#6,#2,#15,#3,2571,
22,Zoilnulniuth,#15,#2,#107,#31,#2,#5,#15,#8,2572,
22,Lorpenerr,#23,#9,#102,#14,#5,#8,#15,#8,2573,
22,Sthicuw,#115,#1,#73,#87,#4,#10,#15,#8,2574,
12,Calfo,#112,#5,#30,#54,#3,#7,#2,#8,2575,
26,Bleamfuumloi,#100,#5,#122,#86,#2,#1,#15,#8,2576,Game Token
22,Xoblex,#46,#8,#74,#29,#1,#1,#15,#8,2577,
25,Gaknihr,#21,#11,#122,#54,#7,#0,#15,#8,2578,Game Token
22,Doubhia,#20,#8,#29,#87,#7,#3,#15,#8,2579,
26,Gruubiurphao,#56,#14,#122,#58,#2,#5,#15,#8,2580,Game Token
22,Phoizoun,#119,#9,#107,#50,#5,#6,#15,#8,2581,
22,Shridois,#28,#3,#87,#7,#4,#5,#15,#8,2582,
25,Keddaknu,#28,#6,#122,#11,#7,#5,#15,#8,2583,Game Token
12,Pheldaocuth,#33,#11,#38,#12,#4,#5,#12,#8,2584,
22,Thrursegnul,#94,#3,#7,#44,#5,#5,#15,#8,2585,
12,Llialnaomuu,#75,#5,#70,#23,#2,#9,#11,#8,2586,
22,Sthrishaol,#31,#1,#66,#22,#3,#6,#15,#8,2587,
25,Gaognon,#69,#14,#122,#22,#1,#0,#15,#8,2588,Game Token
5,Trirzhith,#1,#12,#122,#84,#1,#10,#6,#3,2589,
22,Oudre,#41,#12,#59,#64,#7,#10,#15,#8,2590,
16,Shrettoi,#90,#5,#122,#64,#5,#5,#0,#8,2591,
16,Sthoildin,#125,#12,#122,#83,#3,#3,#14,#8,2592,
12,Phroimalrou,#98,#2,#44,#18,#7,#1,#11,#8,2593,
12,Emmois,#96,#11,#67,#29,#6,#2,#7,#8,2594,
22,Sthrearchuc,#14,#12,#63,#32,#0,#9,#15,#8,2595,
16,Piuthrorlith,#58,#8,#122,#88,#7,#8,#10,#8,2596,
12,Slugiabhaa,#31,#10,#38,#41,#4,#0,#4,#8,2597,
22,Mudreaxtrac,#81,#11,#25,#1,#6,#5,#15,#8,2598,
26,Xorzhaw,#110,#11,#122,#24,#3,#0,#15,#8,2599,Game Token
22,Griphus,#76,#13,#80,#26,#1,#4,#15,#8,2600,
22,Piuphra,#21,#11,#52,#2,#1,#1,#15,#8,2601,
16,Dixhao,#44,#2,#122,#7,#6,#2,#11,#8,2602,
25,Doilduuh,#7,#5,#122,#34,#0,#0,#15,#8,2603,Game Token
22,Zaxalri,#71,#5,#84,#18,#7,#2,#15,#8,2604,
2,Struutuuk,#81,#11,#47,#36,#3,#0,#7,#2,2605,
15,Crebogerm,#65,#3,#122,#2,#2,#0,#15,#6,2606,
16,Gogrultho,#1,#6,#122,#67,#5,#0,#0,#8,2607,
22,Olfoith,#10,#4,#60,#31,#1,#7,#15,#8,2608,
22,Merdahr,#108,#2,#114,#52,#2,#4,#15,#8,2609,
25,Prioruxxar,#33,#4,#122,#9,#1,#9,#15,#8,2610,Game Token
22,Aabrelthia,#118,#14,#47,#28,#5,#10,#15,#8,2611,
22,Throurphouba,#126,#1,#7,#43,#3,#10,#15,#8,2612,
22,Shelroiphriaz,#67,#14,#32,#60,#3,#0,#15,#8,2613,
22,Slelthi,#107,#1,#8,#78,#3,#4,#15,#8,2614,
25,Lirkatt,#34,#3,#122,#16,#0,#6,#15,#8,2615,Game Token
25,Khabhaul,#75,#3,#122,#15,#3,#4,#15,#8,2616,Game Token
25,Sletraun,#21,#9,#122,#60,#2,#2,#15,#8,2617,Game Token
2,Nauxoltett,#86,#2,#68,#37,#2,#5,#6,#1,2618,
25,Phiostron,#34,#5,#122,#83,#1,#9,#15,#8,2619,Game Token
22,Iassuukaan,#27,#13,#29,#40,#0,#9,#15,#8,2620,
22,Thrustrordow,#29,#3,#78,#85,#0,#9,#15,#8,2621,
12,Gesumus,#72,#4,#17,#63,#0,#7,#1,#8,2622,
15,Ioggoz,#70,#2,#122,#57,#5,#9,#15,#5,2623,
16,Thriulaah,#91,#7,#122,#68,#7,#0,#12,#8,2624,
22,Drokhiolthuss,#79,#4,#80,#18,#3,#4,#15,#8,2625,
22,Matirth,#21,#11,#82,#80,#1,#3,#15,#8,2626,
12,Khaateahleah,#35,#4,#107,#30,#4,#3,#0,#8,2627,
22,Xaugoizzaath,#120,#14,#65,#32,#0,#8,#15,#8,2628,
12,Greakruu,#10,#6,#41,#49,#7,#2,#4,#8,2629,
25,Kokkiggarth,#114,#14,#122,#20,#4,#8,#15,#8,2630,Game Token
22,Iurphico,#110,#5,#109,#18,#3,#6,#15,#8,2631,
15,Vutroth,#35,#11,#122,#38,#4,#0,#15,#7,2632,
12,Choicauchio,#52,#12,#7,#87,#5,#0,#7,#8,2633,
22,Wrorri,#13,#8,#113,#65,#6,#8,#15,#8,2634,
22,Glaudihis,#7,#5,#43,#78,#0,#1,#15,#8,2635,
26,Ikroir,#24,#14,#122,#83,#3,#0,#15,#8,2636,Game Token
12,Oltegniuc,#87,#6,#103,#37,#5,#1,#3,#8,2637,
22,Kuuriorsauh,#1,#8,#91,#25,#4,#5,#15,#8,2638,
22,Nekhiurm,#113,#13,#94,#57,#1,#9,#15,#8,2639,
12,Serpohr,#86,#6,#117,#88,#7,#0,#14,#8,2640,
22,Khantitt,#25,#9,#95,#38,#7,#9,#15,#8,2641,
25,Yiknugru,#52,#1,#122,#59,#7,#8,#15,#8,2642,Game Token
25,Niddethahr,#111,#1,#122,#23,#2,#7,#15,#8,2643,Game Token
25,Krikett,#91,#3,#122,#70,#5,#8,#15,#8,2644,Game Token
22,Oxtrott,#43,#4,#100,#58,#2,#2,#15,#8,2645,
16,Strarkehr,#29,#14,#122,#10,#1,#2,#5,#8,2646,
22,Chaoneathuz,#9,#4,#70,#71,#6,#1,#15,#8,2647,
22,Wruhlithouth,#112,#12,#90,#55,#0,#1,#15,#8,2648,
26,Tirsirr,#114,#5,#122,#12,#2,#0,#15,#8,2649,Game Token
25,Llouldeah,#86,#6,#122,#36,#6,#5,#15,#8,2650,Game Token
22,Cregnoc,#113,#2,#20,#35,#5,#2,#15,#8,2651,
22,Phroittea,#24,#3,#65,#29,#4,#7,#15,#8,2652,
12,Luzaamau,#83,#10,#74,#58,#5,#8,#7,#8,2653,
11,Diagu,#23,#10,#5,#47,#6,#0,#15,#7,2654,
22,Kadoszaow,#117,#7,#64,#26,#2,#10,#15,#8,2655,
22,Llokea,#18,#5,#26,#33,#5,#5,#15,#8,2656,
11,Grextruhr,#125,#8,#3,#36,#5,#4,#15,#4,2657,
22,Wuzziu,#71,#14,#51,#0,#0,#7,#15,#8,2658,
25,Blaonumuss,#121,#7,#122,#54,#6,#4,#15,#8,2659,Game Token
22,Yealphioh,#29,#10,#79,#52,#1,#6,#15,#8,2660,
16,Chiurka,#24,#2,#122,#46,#3,#10,#3,#8,2661,
22,Choxxez,#47,#7,#112,#17,#1,#0,#15,#8,2662,
22,Slialthiunsaon,#89,#5,#73,#1,#2,#6,#15,#8,2663,
22,Brozziutt,#127,#13,#88,#22,#0,#3,#15,#8,2664,
2,Khurkic,#125,#13,#98,#5,#4,#1,#7,#5,2665,
22,Erraopha,#96,#13,#39,#78,#6,#5,#15,#8,2666,
22,Crommostrux,#45,#1,#43,#66,#7,#7,#15,#8,2667,
11,Krerzoddorm,#98,#4,#66,#81,#0,#2,#15,#1,2668,
22,Thrauzziszi,#113,#7,#61,#76,#2,#9,#15,#8,2669,
22,Tharduzzu,#12,#10,#3,#7,#6,#10,#15,#8,2670,
25,Gluulraos,#54,#0,#122,#33,#6,#7,#15,#8,2671,
25,Crolthiul,#76,#8,#122,#35,#5,#5,#15,#8,2672,
22,Tralrik,#128,#2,#77,#35,#5,#4,#15,#8,2673,
22,Vathablen,#130,#6,#77,#18,#3,#7,#15,#8,2674,
22,Jartuus,#71,#7,#77,#7,#1,#3,#15,#8,2675,
22,Surkouc,#43,#11,#49,#81,#6,#5,#15,#8,2676,
22,Bhuuxxuutriu,#56,#0,#48,#2,#6,#9,#15,#8,2677,
22,Khiossanti,#123,#3,#49,#88,#6,#9,#15,#8,2678,
22,Miolmondutt,#48,#6,#18,#61,#3,#5,#15,#8,2679,
25,Glassoulfah,#112,#6,#122,#78,#3,#9,#15,#8,2680,
22,Yuuddion,#95,#9,#22,#33,#7,#5,#15,#8,2681,
12,Wottiuth,#77,#12,#61,#41,#1,#6,#12,#8,2682,
22,Khiolpheadhauz,#23,#2,#8,#82,#2,#0,#15,#8,2683,
22,Tilthagrorr,#4,#5,#98,#60,#5,#8,#15,#8,2684,
25,Huusucoith,#38,#7,#122,#22,#7,#3,#15,#8,2685,
22,Blursehr,#82,#13,#65,#23,#6,#8,#15,#8,2686,
22,Vaukhojo,#128,#12,#32,#71,#1,#8,#15,#8,2687,
22,Shraorroin,#24,#9,#120,#1,#4,#10,#15,#8,2688,
16,Phaorse,#58,#4,#122,#81,#5,#10,#4,#8,2689,
22,Bheatrus,#18,#9,#50,#1,#5,#2,#15,#8,2690,
25,Neaddoilphia,#67,#13,#122,#23,#5,#0,#15,#8,2691,
25,Shraansishul,#47,#9,#122,#25,#4,#1,#15,#8,2692,
11,Eszarchott,#113,#2,#25,#50,#6,#0,#15,#5,2693,
12,Ghihuntac,#123,#8,#90,#23,#4,#9,#14,#8,2694,
12,Shruusuuth,#6,#7,#66,#0,#2,#0,#7,#8,2695,
16,Brigrith,#44,#2,#122,#21,#0,#10,#5,#8,2696,
26,Udroih,#58,#8,#122,#17,#3,#5,#15,#8,2697,
22,Moundro,#69,#4,#0,#11,#7,#5,#15,#8,2698,
25,Ghizzaz,#48,#7,#122,#11,#5,#4,#15,#8,2699,
22,Trarzangohr,#106,#8,#68,#56,#7,#8,#15,#8,2700,
25,Bhiuruurnan,#27,#8,#122,#66,#5,#4,#15,#8,2701,
11,Kuuldezel,#65,#5,#57,#44,#2,#0,#15,#6,2702,
22,Khistrournu,#14,#4,#111,#65,#2,#5,#15,#8,2703,
22,Shruuchiostran,#3,#13,#75,#21,#5,#7,#15,#8,2704,
22,Yandria,#81,#5,#4,#75,#3,#9,#15,#8,2705,
22,Phuxxuz,#44,#4,#30,#53,#1,#0,#15,#8,2706,
12,Gaszia,#17,#14,#13,#8,#1,#2,#2,#8,2707,
22,Meszirth,#80,#3,#46,#4,#5,#1,#15,#8,2708,
22,Frannouthruu,#126,#4,#82,#33,#2,#1,#15,#8,2709,
22,Viphroi,#17,#14,#50,#24,#7,#7,#15,#8,2710,
22,Ussohr,#41,#11,#113,#76,#6,#0,#15,#8,2711,
22,Khinil,#11,#6,#87,#0,#1,#5,#15,#8,2712,
5,Phiussabroiz,#10,#2,#122,#84,#4,#5,#3,#1,2713,
16,Wraubia,#69,#14,#122,#68,#1,#3,#10,#8,2714,
25,Naumaulruul,#12,#4,#122,#47,#4,#2,#15,#8,2715,Game Token
11,Laakenton,#28,#5,#6,#74,#0,#8,#15,#5,2716,
25,Balfutt,#123,#8,#122,#2,#0,#2,#15,#8,2717,Game Token
12,Sluulfalpha,#30,#5,#99,#55,#7,#3,#8,#8,2718,
22,Voirzherr,#14,#11,#73,#60,#1,#5,#15,#8,2719,
22,Vuxantan,#82,#3,#47,#85,#3,#3,#15,#8,2720,
25,Ukniohr,#64,#9,#122,#32,#6,#0,#15,#8,2721,Game Token
22,Vrerturzhuc,#94,#10,#30,#37,#2,#3,#15,#8,2722,
12,Thinsea,#6,#1,#75,#47,#1,#5,#7,#8,2723,
25,Draarsomiuth,#118,#5,#122,#35,#3,#2,#15,#8,2724,Game Token
22,Khauphroz,#96,#1,#75,#31,#2,#1,#15,#8,2725,
22,Bhaorlou,#123,#12,#70,#38,#3,#2,#15,#8,2726,
25,Drustren,#39,#12,#122,#8,#7,#6,#15,#8,2727,Game Token
12,Veduurpuc,#57,#3,#2,#85,#6,#0,#2,#8,2728,
11,Jiha,#125,#5,#58,#68,#3,#1,#15,#3,2729,
22,Driakhauggik,#8,#13,#119,#24,#5,#7,#15,#8,2730,
25,Utheghauhr,#33,#9,#122,#11,#7,#3,#15,#8,2731,Game Token
25,Pokenre,#123,#2,#122,#86,#0,#3,#15,#8,2732,Game Token
5,Dregiuleah,#96,#3,#122,#18,#4,#2,#1,#0,2733,
11,Dhoulfioh,#73,#4,#67,#48,#3,#4,#15,#7,2734,
22,Thronsiuz,#103,#13,#61,#16,#6,#0,#15,#8,2735,
25,Sthaugroirphaoh,#88,#7,#122,#20,#1,#8,#15,#8,2736,Game Token
22,Bledrouhaa,#1,#8,#3,#72,#6,#2,#15,#8,2737,
26,Khaocounnih,#16,#5,#122,#5,#4,#0,#15,#8,2738,Game Token
22,Sthrointheh,#85,#3,#23,#37,#3,#0,#15,#8,2739,
22,Waokhiuh,#48,#6,#42,#48,#3,#7,#15,#8,2740,
16,Nuxtriuszas,#16,#6,#122,#3,#7,#4,#13,#8,2741,
22,Cralmil,#86,#10,#83,#2,#1,#7,#15,#8,2742,
22,Blorlau,#46,#2,#24,#36,#7,#3,#15,#8,2743,
22,Sriobletrarm,#76,#10,#70,#31,#3,#7,#15,#8,2744,
22,Llaathruu,#1,#1,#72,#87,#6,#5,#15,#8,2745,
12,Dassiss,#64,#5,#108,#51,#4,#3,#2,#8,2746,
22,Chaanges,#45,#9,#17,#43,#0,#1,#15,#8,2747,
25,Chourlath,#75,#11,#122,#77,#4,#5,#15,#8,2748,Game Token
25,Driomiocheth,#53,#3,#122,#70,#2,#6,#15,#8,2749,Game Token
22,Choldess,#83,#12,#113,#35,#4,#10,#15,#8,2750,
22,Ghikkorr,#50,#14,#57,#43,#0,#6,#15,#8,2751,
16,Giudhoukhaon,#16,#6,#122,#67,#2,#1,#10,#8,2752,
16,Kauhlarnau,#94,#5,#122,#24,#1,#0,#2,#8,2753,
11,Gengehr,#44,#14,#48,#10,#0,#10,#15,#4,2754,
2,Thiuneashoh,#117,#1,#90,#85,#3,#3,#11,#5,2755,
22,Truuntognil,#56,#14,#19,#51,#1,#2,#15,#8,2756,
12,Iataamfaa,#31,#14,#106,#14,#4,#8,#14,#8,2757,
22,Ghuzurpa,#10,#0,#117,#57,#4,#0,#15,#8,2758,
22,Ocau,#58,#11,#93,#45,#4,#2,#15,#8,2759,
22,Sluunthel,#56,#2,#16,#66,#1,#8,#15,#8,2760,
12,Xiubauth,#65,#1,#64,#20,#6,#6,#3,#8,2761,
25,Draussastrehr,#105,#0,#122,#5,#0,#6,#15,#8,2762,Game Token
5,Sthammuus,#119,#4,#122,#22,#3,#9,#1,#2,2763,
25,Sthrumfiuth,#93,#14,#122,#46,#3,#2,#15,#8,2764,Game Token
25,Thruudduthriw,#73,#7,#122,#74,#5,#9,#15,#8,2765,Game Token
22,Niumlaochas,#59,#0,#39,#17,#5,#10,#15,#8,2766,
22,Throtus,#51,#14,#49,#88,#1,#6,#15,#8,2767,
25,Kiugneh,#80,#14,#122,#53,#4,#3,#15,#8,2768,Game Token
25,Frialphuudho,#18,#11,#122,#75,#0,#3,#15,#8,2769,Game Token
25,Chelde,#11,#13,#122,#60,#5,#2,#15,#8,2770,Game Token
22,Boingorphas,#63,#7,#117,#29,#1,#8,#15,#8,2771,
12,Noukamfiaz,#34,#5,#52,#59,#4,#9,#2,#8,2772,
22,Irzin,#47,#11,#117,#86,#4,#4,#15,#8,2773,
22,Abludu,#3,#9,#36,#30,#5,#2,#15,#8,2774,
12,Greamiw,#72,#10,#58,#52,#7,#2,#13,#8,2775,
22,Merromuth,#56,#0,#33,#73,#6,#6,#15,#8,2776,
25,Liddec,#56,#10,#122,#19,#7,#4,#15,#8,2777,Game Token
25,Heaxuuhlis,#92,#1,#122,#0,#6,#8,#15,#8,2778,Game Token
22,Thoblibruc,#34,#14,#75,#45,#5,#0,#15,#8,2779,
22,Vregnedrirth,#77,#6,#18,#77,#5,#0,#15,#8,2780,
